player_id,player_name,game_id,season,team_abbreviation,pts,reb,ast,stl,blk,turnover,fgm,fga,ftm,fta,min,pf,oreb,dreb
356,Josh Okogie,1037594,2023,PHX,17,5,1,1,0,2,7,9,2,2,31.0,2,4,1
140,Kevin Durant,1037594,2023,PHX,18,10,3,0,1,2,7,22,3,5,37.0,1,2,8
349,Jusuf Nurkic,1037594,2023,PHX,14,14,3,0,1,1,5,8,3,3,28.0,5,3,11
8,Grayson Allen,1037594,2023,PHX,0,4,2,0,0,1,0,6,0,0,21.0,2,3,1
57,Devin Booker,1037594,2023,PHX,32,6,8,1,0,6,13,21,3,3,37.0,4,1,5
3547095,Udoka Azubuike,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
32,Keita Bates-Diop,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666451,Bol Bol,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
147,Drew Eubanks,1037594,2023,PHX,4,8,2,0,3,3,1,3,2,4,19.0,3,2,6
18678058,Jordan Goodwin,1037594,2023,PHX,2,4,3,1,0,2,1,4,0,0,14.0,0,1,3
178,Eric Gordon,1037594,2023,PHX,10,4,1,1,1,1,4,16,0,0,32.0,2,1,3
3547298,Saben Lee,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666729,Nassir Little,1037594,2023,PHX,3,1,0,1,0,0,1,1,0,0,3.0,1,0,1
314,Chimezie Metu,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
470,Yuta Watanabe,1037594,2023,PHX,8,4,0,0,1,1,3,5,0,0,18.0,2,0,4
37,Bradley Beal,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
272,Damion Lee,1037594,2023,PHX,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666423,RJ Barrett,1037597,2023,NYK,24,3,2,1,0,2,8,20,6,7,36.0,0,1,2
387,Julius Randle,1037597,2023,NYK,14,11,7,2,0,0,5,22,1,5,34.0,3,4,7
399,Mitchell Robinson,1037597,2023,NYK,2,6,1,2,0,1,1,4,0,2,22.0,4,3,3
73,Jalen Brunson,1037597,2023,NYK,15,3,6,3,0,2,6,21,0,1,33.0,3,1,2
17895858,Quentin Grimes,1037597,2023,NYK,11,1,0,0,0,0,4,7,0,1,23.0,2,0,1
19,Ryan Arcidiacono,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
131,Donte DiVincenzo,1037597,2023,NYK,0,3,2,0,0,0,0,4,0,0,15.0,1,0,3
160,Evan Fournier,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
202,Josh Hart,1037597,2023,NYK,7,6,0,0,0,1,2,4,1,2,23.0,1,1,5
201,Isaiah Hartenstein,1037597,2023,NYK,7,8,2,0,0,1,3,4,1,2,26.0,5,5,3
666675,DaQuan Jeffries,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17896033,Miles McBride,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547269,Immanuel Quickley,1037597,2023,NYK,24,6,4,1,0,2,7,11,5,6,28.0,3,2,4
17896063,Jericho Sims,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666971,Dylan Windler,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666474,Charles Brown,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677795,Jacob Toppin,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17896089,Duane Washington Jr.,1037597,2023,NYK,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
70,Jaylen Brown,1037597,2023,BOS,11,6,5,1,0,2,4,11,3,4,38.0,5,0,6
434,Jayson Tatum,1037597,2023,BOS,34,11,4,2,1,4,13,22,5,6,38.0,3,0,11
378,Kristaps Porzingis,1037597,2023,BOS,30,8,0,0,4,1,8,15,9,10,38.0,4,1,7
214,Jrue Holiday,1037597,2023,BOS,9,4,2,0,3,2,4,10,0,0,35.0,3,2,2
473,Derrick White,1037597,2023,BOS,12,6,2,2,1,1,4,6,3,4,32.0,3,0,6
17896094,Dalano Banton,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666468,Oshae Brissett,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17896060,Sam Hauser,1037597,2023,BOS,0,2,0,1,1,0,0,4,0,0,14.0,1,0,2
219,Al Horford,1037597,2023,BOS,8,7,2,0,0,3,3,4,0,0,26.0,2,3,4
261,Luke Kornet,1037597,2023,BOS,0,1,2,0,1,0,0,1,0,0,8.0,0,1,0
338,Svi Mykhailiuk,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547276,Payton Pritchard,1037597,2023,BOS,4,1,1,0,0,0,1,4,2,2,11.0,1,0,1
17553967,Neemias Queta,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547279,Lamar Stevens,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677864,Jordan Walsh,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
38017707,JD Davison,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547295,Nathan Knight,1037597,2023,BOS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17896026,Franz Wagner,1037598,2023,ORL,17,3,2,1,0,3,5,11,4,4,27.0,1,2,1
38017683,Paolo Banchero,1037598,2023,ORL,12,5,5,1,0,1,3,6,6,7,28.0,2,0,5
85,Wendell Carter Jr.,1037598,2023,ORL,8,8,1,2,0,2,4,10,0,0,27.0,3,4,4
17896073,Jalen Suggs,1037598,2023,ORL,8,4,0,0,0,0,3,12,0,0,21.0,2,1,3
165,Markelle Fultz,1037598,2023,ORL,10,4,2,3,0,1,5,9,0,0,24.0,0,3,1
3547251,Cole Anthony,1037598,2023,ORL,20,8,2,0,0,0,8,12,3,3,24.0,2,1,7
666442,Goga Bitadze,1037598,2023,ORL,7,3,0,0,0,1,2,2,3,4,5.0,1,1,2
56677827,Anthony Black,1037598,2023,ORL,5,0,1,0,2,0,2,2,1,1,5.0,0,0,0
196,Gary Harris,1037598,2023,ORL,11,6,0,0,1,0,5,8,0,0,17.0,0,3,3
38017724,Caleb Houstan,1037598,2023,ORL,3,1,0,0,0,0,1,2,0,0,5.0,0,0,1
56677839,Jett Howard,1037598,2023,ORL,0,0,1,1,0,0,0,1,0,0,5.0,0,0,0
226,Joe Ingles,1037598,2023,ORL,0,4,5,0,0,1,0,3,0,0,18.0,3,0,4
229,Jonathan Isaac,1037598,2023,ORL,11,4,0,0,1,2,4,6,2,3,14.0,2,1,3
666818,Chuma Okeke,1037598,2023,ORL,0,3,0,0,0,0,0,1,0,0,5.0,0,0,3
462,Moritz Wagner,1037598,2023,ORL,4,3,0,0,1,3,0,1,4,4,15.0,4,0,3
38017607,Kevon Harris,1037598,2023,ORL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17553983,Trevelin Queen,1037598,2023,ORL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666885,Admiral Schofield,1037598,2023,ORL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
66,Dillon Brooks,1037598,2023,HOU,14,4,2,1,0,2,5,7,0,0,26.0,4,0,4
38017684,Jabari Smith Jr.,1037598,2023,HOU,7,5,1,1,0,1,3,9,1,2,26.0,6,1,4
17896062,Alperen Sengun,1037598,2023,HOU,14,8,6,0,0,1,6,11,2,4,28.0,4,2,6
17895966,Jalen Green,1037598,2023,HOU,10,1,0,1,1,4,2,10,6,7,30.0,2,0,1
458,Fred VanVleet,1037598,2023,HOU,14,1,5,1,0,3,5,13,0,0,34.0,0,0,1
75,Reggie Bullock,1037598,2023,HOU,3,1,0,1,1,0,1,1,0,0,11.0,1,0,1
188,Jeff Green,1037598,2023,HOU,4,3,1,0,0,1,2,4,0,1,14.0,2,3,0
213,Aaron Holiday,1037598,2023,HOU,0,0,0,0,0,0,0,3,0,0,5.0,0,0,0
19465326,Jock Landale,1037598,2023,HOU,3,0,2,0,0,1,1,2,0,0,9.0,1,0,0
296,Boban Marjanovic,1037598,2023,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677809,Jermaine Samuels Jr.,1037598,2023,HOU,0,0,0,0,0,0,0,0,0,0,6.0,1,0,0
3547301,Jae'Sean Tate,1037598,2023,HOU,5,2,0,1,1,0,2,2,0,0,15.0,1,0,2
56677825,Amen Thompson,1037598,2023,HOU,8,5,2,0,0,4,3,10,1,2,21.0,2,1,4
56677831,Cam Whitmore,1037598,2023,HOU,0,1,0,0,0,1,0,4,0,0,10.0,0,0,1
47738533,Jeenathan Williams,1037598,2023,HOU,4,0,0,0,0,0,2,3,0,0,5.0,0,0,0
38017695,Tari Eason,1037598,2023,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547281,Nate Hinton,1037598,2023,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
357,Victor Oladipo,1037598,2023,HOU,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
69,Bruce Brown,1037596,2023,IND,24,3,1,1,0,1,8,11,2,2,27.0,3,1,2
3547243,Obi Toppin,1037596,2023,IND,11,4,1,1,0,0,4,9,1,1,19.0,0,1,3
452,Myles Turner,1037596,2023,IND,11,8,1,0,3,2,5,8,1,2,23.0,4,0,8
38017686,Bennedict Mathurin,1037596,2023,IND,18,4,5,2,0,2,6,15,4,4,26.0,1,0,4
3547245,Tyrese Haliburton,1037596,2023,IND,20,3,11,1,2,3,9,16,0,0,27.0,1,0,3
210,Buddy Hield,1037596,2023,IND,14,2,5,1,1,1,5,9,0,0,25.0,0,0,2
17896035,Isaiah Jackson,1037596,2023,IND,4,4,0,0,0,0,2,4,0,0,11.0,2,1,3
304,T.J. McConnell,1037596,2023,IND,4,1,2,2,0,0,2,2,0,0,6.0,0,0,1
38017507,Andrew Nembhard,1037596,2023,IND,12,4,10,0,0,2,6,9,0,0,22.0,4,1,3
3547250,Aaron Nesmith,1037596,2023,IND,7,5,1,0,1,1,2,5,2,2,23.0,3,1,4
3547207,Jordan Nwora,1037596,2023,IND,5,1,1,0,1,0,2,7,0,0,6.0,0,1,0
56677861,Ben Sheppard,1037596,2023,IND,0,0,0,0,0,0,0,1,0,0,6.0,0,0,0
3547264,Jalen Smith,1037596,2023,IND,13,8,0,1,0,0,5,6,1,1,13.0,4,3,5
439,Daniel Theis,1037596,2023,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677832,Jarace Walker,1037596,2023,IND,0,4,0,1,0,0,0,5,0,0,6.0,1,1,3
38017701,Kendall Brown,1037596,2023,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677778,Oscar Tshiebwe,1037596,2023,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677794,Isaiah Wong,1037596,2023,IND,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
265,Kyle Kuzma,1037596,2023,WAS,25,2,0,0,2,0,9,18,6,6,25.0,0,1,1
3547242,Deni Avdija,1037596,2023,WAS,9,7,5,1,0,2,4,8,1,2,21.0,0,2,5
666577,Daniel Gafford,1037596,2023,WAS,6,5,0,0,2,0,2,2,2,4,21.0,5,1,4
666848,Jordan Poole,1037596,2023,WAS,18,2,5,1,1,4,7,18,4,5,26.0,1,0,2
249,Tyus Jones,1037596,2023,WAS,16,3,6,1,1,2,7,12,0,1,28.0,1,1,2
38017704,Patrick Baldwin Jr.,1037596,2023,WAS,0,0,0,0,0,0,0,1,0,0,3.0,0,0,0
18677954,Jared Butler,1037596,2023,WAS,3,0,0,0,0,0,1,2,0,0,4.0,0,0,0
38124126,John Butler Jr.,1037596,2023,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677844,Bilal Coulibaly,1037596,2023,WAS,3,4,3,0,3,3,1,3,0,0,23.0,1,0,4
167,Danilo Gallinari,1037596,2023,WAS,16,3,0,0,0,0,4,7,6,6,17.0,1,2,1
17896045,Corey Kispert,1037596,2023,WAS,11,5,1,0,0,1,4,11,2,2,25.0,1,2,3
337,Mike Muscala,1037596,2023,WAS,0,3,0,0,0,0,0,0,0,0,8.0,0,0,3
17896106,Eugene Omoruyi,1037596,2023,WAS,4,2,1,0,0,1,2,3,0,0,8.0,0,1,1
38017712,Ryan Rollins,1037596,2023,WAS,1,3,1,0,0,1,0,3,1,2,6.0,0,0,3
487,Delon Wright,1037596,2023,WAS,8,6,6,3,0,0,3,8,1,1,25.0,1,1,5
38017687,Johnny Davis,1037596,2023,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547302,Anthony Gill,1037596,2023,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
414,Landry Shamet,1037596,2023,WAS,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
204,Gordon Hayward,1037595,2023,CHA,10,8,7,1,1,6,4,8,2,3,33.0,1,3,5
666950,P.J. Washington,1037595,2023,CHA,25,5,2,0,0,1,12,18,0,0,32.0,4,1,4
38017698,Mark Williams,1037595,2023,CHA,13,15,1,3,1,2,5,6,3,3,30.0,2,4,11
403,Terry Rozier,1037595,2023,CHA,24,5,6,0,0,3,7,16,8,12,34.0,2,1,4
3547239,LaMelo Ball,1037595,2023,CHA,15,6,10,1,0,3,4,15,3,4,31.0,3,1,5
56677848,Amari Bailey,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677866,Leaky Black,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547253,Theo Maledon,1037595,2023,CHA,4,3,4,0,0,1,2,5,0,0,16.0,3,0,3
56677823,Brandon Miller,1037595,2023,CHA,13,3,2,0,0,1,5,9,0,0,25.0,3,0,3
3547282,Nick Richards,1037595,2023,CHA,7,4,1,0,1,2,2,2,3,4,18.0,3,1,3
56677846,Nick Smith Jr.,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,1.0,0,0,0
18678001,JT Thor,1037595,2023,CHA,5,2,1,0,0,0,2,7,0,0,20.0,0,1,1
17896037,James Bouknight,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
62,Miles Bridges,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666748,Cody Martin,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
38017708,Bryce McGowens,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
347,Frank Ntilikina,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
422,Ish Smith,1037595,2023,CHA,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666656,De'Andre Hunter,1037595,2023,ATL,9,4,1,0,0,0,4,9,0,1,31.0,6,2,2
3547256,Saddiq Bey,1037595,2023,ATL,15,5,0,5,0,2,6,12,2,2,29.0,1,3,2
83,Clint Capela,1037595,2023,ATL,15,13,0,1,0,2,6,10,3,4,29.0,1,6,7
334,Dejounte Murray,1037595,2023,ATL,11,2,6,0,0,1,3,14,5,6,33.0,0,0,2
490,Trae Young,1037595,2023,ATL,23,1,9,1,0,5,4,19,14,15,36.0,3,0,1
53,Bogdan Bogdanovic,1037595,2023,ATL,7,4,4,3,0,0,3,9,0,0,24.0,1,0,4
56677838,Kobe Bufkin,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666564,Bruno Fernando,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547297,Trent Forrest,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
38017689,AJ Griffin,1037595,2023,ATL,2,2,0,0,0,1,1,2,0,0,10.0,1,0,2
56677806,Mouhamed Gueye,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17896040,Jalen Johnson,1037595,2023,ATL,21,7,2,2,1,0,9,13,2,4,29.0,1,0,7
666754,Garrison Mathews,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
319,Patty Mills,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
3547244,Onyeka Okongwu,1037595,2023,ATL,7,4,2,0,0,1,3,5,1,1,19.0,5,1,3
56677855,Seth Lundy,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
301,Wesley Matthews,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677875,Miles Norris,1037595,2023,ATL,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
61,Mikal Bridges,1037599,2023,BKN,20,6,4,3,0,3,6,12,8,9,35.0,4,2,4
666679,Cameron Johnson,1037599,2023,BKN,12,5,3,2,0,2,5,10,1,2,26.0,1,2,3
666508,Nicolas Claxton,1037599,2023,BKN,7,7,4,0,3,0,3,10,1,1,28.0,1,4,3
130,Spencer Dinwiddie,1037599,2023,BKN,5,1,3,0,0,1,1,3,2,2,24.0,2,0,1
417,Ben Simmons,1037599,2023,BKN,4,10,9,0,1,2,2,6,0,0,23.0,2,1,9
56677843,Noah Clowney,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
158,Dorian Finney-Smith,1037599,2023,BKN,10,5,2,0,0,3,4,8,0,1,28.0,1,1,4
174,Harry Giles III,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
351,Royce O'Neale,1037599,2023,BKN,5,7,2,0,0,1,2,6,0,0,23.0,2,0,7
17896038,Day'Ron Sharpe,1037599,2023,BKN,4,2,0,0,2,3,2,3,0,0,12.0,2,1,1
421,Dennis Smith Jr.,1037599,2023,BKN,10,4,1,0,0,1,4,5,0,0,16.0,1,2,2
17896048,Cam Thomas,1037599,2023,BKN,36,3,2,1,0,1,13,21,8,11,25.0,0,0,3
464,Lonnie Walker IV,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
17896058,Trendon Watford,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
9051997,Armoni Brooks,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677841,Dariq Whitehead,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
56677722,Jalen Wilson,1037599,2023,BKN,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666908,Max Strus,1037599,2023,CLE,27,12,2,1,1,0,9,17,2,2,39.0,4,0,12
3547247,Isaac Okoro,1037599,2023,CLE,18,6,4,2,1,2,6,10,4,5,32.0,5,3,3
17896076,Evan Mobley,1037599,2023,CLE,10,6,1,0,2,0,5,11,0,0,34.0,3,1,5
322,Donovan Mitchell,1037599,2023,CLE,27,5,6,4,1,0,11,21,1,1,36.0,1,2,3
666581,Darius Garland,1037599,2023,CLE,15,2,5,2,0,6,6,12,2,2,32.0,2,1,1
56677847,Emoni Bates,1037599,2023,CLE,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0
666676,Ty Jerome,1037599,2023,CLE,2,0,0,0,0,0,1,1,0,0,5.0,1,0,0
248,Damian Jones,1037599,2023,CLE,4,0,2,0,0,2,2,2,0,0,11.0,3,0,0
