player_id,player_name,game_id,season,team_abbreviation,pts,reb,ast,stl,blk,turnover,fgm,fga,ftm,fta,min
38017676,MarJon Beauchamp,857370,2022,MIL,0,0,0,0,0,0,0,0,0,0,0.0
38017733,A.J. Green,857370,2022,MIL,0,0,0,0,0,0,0,0,0,0,0.0
17896059,Sandro Mamukelashvili,857370,2022,MIL,0,0,0,0,0,0,0,0,0,0,0.0
105,Pat Connaughton,857370,2022,MIL,0,0,0,0,0,0,0,0,0,0,0.0
226,Joe Ingles,857370,2022,MIL,0,0,0,0,0,0,0,0,0,0,0.0
315,Khris Middleton,857370,2022,MIL,0,0,0,0,0,0,0,0,0,0,0.0
202,Josh Hart,857381,2022,POR,10,7,3,2,0,1,3,9,3,4,41.0
182,Jerami Grant,857381,2022,POR,8,4,2,0,2,1,3,7,1,4,40.0
349,Jusuf Nurkic,857381,2022,POR,20,17,2,1,1,3,6,10,8,9,35.0
419,Anfernee Simons,857381,2022,POR,16,3,3,1,0,4,5,17,4,4,42.0
278,Damian Lillard,857381,2022,POR,41,7,3,0,1,4,12,25,12,12,43.0
485,Justise Winslow,857381,2022,POR,4,2,1,2,1,2,1,4,2,2,24.0
147,Drew Eubanks,857381,2022,POR,5,5,0,1,0,2,2,3,1,1,16.0
38017690,Shaedon Sharpe,857381,2022,POR,0,2,0,0,0,1,0,2,0,0,12.0
666729,Nassir Little,857381,2022,POR,9,1,0,1,0,0,4,5,0,0,13.0
17896028,Greg Brown III,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
17896041,Keon Johnson,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
38017711,Jabari Walker,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
38124126,John Butler Jr.,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
2189,Gary Payton II,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
24572055,Olivier Sarr,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
17896058,Trendon Watford,857381,2022,POR,0,0,0,0,0,0,0,0,0,0,0.0
