(38017710, 18.529168)
(17896094, 15.137309)
(489, 22.289043)
(46, 13.036751)
(17896039, 14.102739)
(17553988, 14.468808)
(3547275, 4.886230)
(38017717, 17.581240)
(206, 11.053003)
(58, 23.572564)
(376, 19.341920)
(666656, 8.696828)
(101, 17.044614)
(83, 38.746042)
(334, 19.538563)
(490, 23.116407)
(3547244, 32.253005)
(17896040, 21.642773)
(215, 2.243833)
(213, 10.093289)
(666523, 13.722631)
(3547297, 10.354043)
(38017689, 10.199291)
(252, 22.065285)
(4197387, 10.684435)
(38017722, 8.049584)
(53, 11.338149)
(17896026, 15.662985)
(38017683, 15.010644)
(85, 22.416007)
(402, 7.435009)
(17896073, 12.544094)
(3547251, 19.127462)
(666818, 11.600419)
(28, 20.643172)
(666451, 20.664461)
(3547257, 9.280339)
(38017607, 9.473092)
(38017724, 3.739271)
(666885, 9.199073)
(165, 22.994665)
(196, 8.272766)
(229, 31.600146)
(462, 20.909670)
(79, 37.962353)
(666747, 13.350837)
(4, 27.663052)
(666633, 12.205193)
(286, 14.612015)
(120, 20.524193)
(666908, 6.742000)
(1603383, 4.822735)
(397, 0.402899)
(3092, 10.376945)
(203, 0.202462)
(38017696, 9.340197)
(19465585, 17.224056)
(38017734, 23.008434)
(357, 8.158162)
(11891374, 21.681972)
(70, 17.451957)
(434, 24.891300)
(219, 18.540122)
(473, 18.204155)
(420, 13.772196)
(666965, 11.579626)
(459, 10.634164)
(17896060, 10.754306)
(65, 19.974061)
(38017707, 13.710340)
(189, 20.352647)
(235, 8.629214)
(666692, 14.751111)
(261, 28.338131)
(3547276, 6.007760)
(167, 0.000000)
(476, 36.580410)
(3547259, 13.184821)
(447, 23.833179)
(176, 32.819827)
(3547238, 15.378208)
(405, 16.056270)
(12, 24.612066)
(666767, 17.635221)
(383, 6.731851)
(666809, 11.874183)
(393, 7.608838)
(667378, 21.433232)
(159, 1.082441)
(3547295, 16.857541)
(38017715, 28.919307)
(38017700, 13.201261)
(17896056, 26.272954)
(297, 23.568059)
(358, 18.715303)
(457, 26.085430)
(100, 9.892210)
(104, 19.060201)
(38017705, 38.838857)
(413, 15.409714)
(38, 4.212391)
(171, 9.467675)
(666650, 14.257309)
(38017620, 6.000344)
(666400, 11.785155)
(4197356, -11.095407)
(38017739, 0.593622)
(38017630, 0.732602)
(3547095, 29.227097)
(19465584, 26.032366)
(475, 14.736912)
(185, 23.007111)
(282, 35.789266)
(443, 7.272385)
(115, 23.609529)
(666848, 9.205552)
(187, 20.827113)
(17553979, 15.543051)
(3547240, 21.790593)
(131, 16.158827)
(17553992, 10.352556)
(38017704, 3.621479)
(38017712, -14.756169)
